심슨 가족, 더 무비
10,사회풍자 그리고 많은 패러디와 코믹 그리고 가족애 정말 최고넹 ^^
1,도대체 뭐가 잼있다는거야!!!! 돈아깝다고!
10,어린애들과 일본만화팬은 이 만화의 재미를 모를지도 ㅋㅋ
9,완전 강추 일단보시길...
9,역시 심슨가족 다운 만화였다 유쾌한 만화를 영화로 잘 만들어 놓은듯한
9,tv에서가끔볼때는 별루였는데.. 영화는..
10,애니는 그다지 좋아하질 않았는데.. 생각이 바꼈죠! ^^ㅋ
10,조낸 웃김
6,환경문제를 잘 다룬 만화영화.  But 큰 웃음은 주지 못했다.
9,풍자, 코미디..와...역시 심슨이다.
6,그냥 TV 시리즈물로 남았더라면 좋았을 것을...
10,역시나 기대를 져버리지 않는다. 재미와 비판의 양념을 잘 버무렸다.
10,'최고' 라는 말밖에 할 말이 없다. 특히 중간에 한글 간판은 정말 반가웠었다!
10,심슨의 다른 영화도 많이 나왔으면 좋겠다는 바람을 가지고서 등록!
10,원래 심슨이란 만화는 스토리보단 유머가 메인이지...정말 최고다! ㅋㅋ
8,뭐라고 말할건진 몰라도 닥쳐라, 심슨이다
8,뭔가빠르면서도 유쾌한진행, 심슨의 사회비판멋지다
10,닥쳐
10,보는 내내 웃었다.
9,역시 심슨의 비꼬기란 정말이지 대단해~!!
10,호머심슨 지존 재미있다
9,이것이 진정한 심슨이닷! 우리가 기대한 모든 것이 여기에~ 맘껏 웃어보자
10,역시 심슨이군
10,좀 잔인해요~~~~~~
1,머냐? 빌어먹을 서양식 개그는? 1점도 아깝내 쩝
10,역시 호머심슨의 목조르기는 죽지않았다.
10,단연 최고다 ㅋㅋㅋ 스파이더피그~ 스파이더피그~ㅋ
10,TV판보다 좀 순화된(?) 내용이 아쉽지만 그래도 잼있다~
10,실망시키지 않는 심슨가족. 스크린에서는 tv를 능가한다.
10,영화화 돼도 심슨만의 독특한 개그 센스는 죽지 않는다! 최고!
8,화려한 심슨이지만 글케 재미는 없는..기대가 컷나
10,하하하 즐거웠습니다~
10,낄낄낄낄 이런 영화는 웃기면 그만이다
10,12세 관람가 영화는 아닌것 같은데..
8,정말 유쾌하게 웃었던 영화, 스크린까지 정복하러 왔다.
9,재밌긴하다.  초반 유쾌. 중반 지루. 후반 유치.
7,...조금 엄했다
10,영화관에서 오랜만에 소리내서 웃었다.
10,애들이 볼영화는 아니라고 보는데 애들이 너무 많아서 안습 ㅜㅜ 재밌어요-
10,심슨 팬이라며느ㅡ
9,일찌기 아버지 조지 부시는 심슨 가족을 아주 몹쓸 애니메이션이라 규정했다.
7,나랑은 코드가 틀린가보네 그저그랬다는..
10,웃기긴 웃기네 ㅋㅋ
10,하하,바트귀여워♡<
9,굉장히 유쾌해
10,유머가 철철흘러넘치는 영화
10,이게 티비에서 보는것보다 100배는 더 웃겨...ㅋㅋ
9,웃다가 폐활량의 한계를 느꼈다. 우하하하~~ 카악카악
1,돈 아깝다. 미쿡이라면 설설 기는 미국빠들이 질질 싸는 영화인듯
10,이건 뭐 최고네요 대사하나하나가 일침을 가함 ㅋㅋ
9,심슨의 각성 이라니 ㅋㅋㅋㅋ
10,텍사스 사투리 영어회화 ㅋㅋㅋ
10,아 웃겨 ㅋㅋㅋㅋㅋㅋㅋ
8,풍자와 패러디가 특히 재밌었다. /좋은 만화영화
10,탐행크스 ㅋㅋㅋㅋㅋㅋㅋ
7,그럭저럭 볼만
10,아아 상영도중에도 폭스광고 때려주는 센쓰~!
10,역시 시니컬의 제왕다운!!
10,안습이다.. 이런거 많이 나왓으면 좋겟다 !!!!
9,웃기다진짜........한국에서도통하는코미디 ㅋㅋ
10,기대를져버리지않는군, 메세지를전달하는스타일도좋고처음부터끝가지배쨌네,
10,존.나웃겼음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,진짜 졸라웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  유치한거절대없음 ㅋㅋㅋㅋ
10,기발함의 연속이랄까...이전 영화시리즈도 계속...
7,에스키모 나오는데 졸립고 너무 미국적
9,왜 TV시리즈를 영화로 보냐고 묻는ㅋㅋ 유쾌하다
10,여자친구랑봤는데 재밌었다 정말
8,난 이런 영화가 너무 좋다
9,스파이더 피그의 힘, 엔딩에 메기가 sequel하느까 기대되네
9,어른들이 봐야 할 유쾌한 만화~!
9,빅재미 빵빵터짐~알면 알수록 재미있는 심슨가족!!
10,정말 제대로 웃겼다...ㅎㅎㅎㅎㅎ
10,웃겨 죽는다 ㅋㅋㅋㅋㅋㅋ웃다가 숨막혔다
7,미국의 사회와 문화가 고스란히 묻어있다..그럭저럭 수준..
9,웃기다!!!
8,ㅋㅋ 그냥 보면서 재미있었다.
9,미친다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,호머가족 다 정신이상자인줄 알았는데 호머만 그렇구나
8,영화 마지막 제작자 이름에 엄청난 숫자의 한국인.. 보셨나요? good
10,심슨 처음보는데 이렇게 재밌는줄 처음알았다
10,심슨..호머 파워~!
10,ㅋㅋㅋㅋ 아놔 아직도웃기네
10,디워보다 딱 10배 더 받을 자격이 있다
10,맨첨엔 잼엄는줄알고 무시했는데.. 재밋네 ;;
7,몸개그 짱!!엄청웃기다.그러나 의미가 없는 영화
7,아 웃기다 ㅋㅋ
7,미국식 유머가 나랑 안맞는것 같다
10,재미있게 봤다^ㅡ^ 역시 미국코미디도 재밌다앗ㅎ
10,짱!
9,8월초에 Divx만 안떴더라도 더 봤을텐데 안타깝네요.
8,재밌긴했는데.....
9,애니메이션 정말 배잡고 웃을수있따 어른들께도 강추
10,재미있게 봤다 ^^;
10,보는시간동안 웃음을 멈출수없엇따ㅏㅏ
10,짱
10,굿굿~~
10,ㅎㅎ 최고``~~
10,하하 오랜만에 실컷 웃었다는,,,,
10,야이 그지 깽깽이 들아!
7,심슨은 극장판이나 TV시리즈나 실망은 안 시키니 좋을 따름이다.
10,ㅎㅎㅎ 매기 최고
6,다들 잼있다하는데 난좀 재미없었다;;
10,처음부터 끝까지 센스가 넘치는구나.
9,ㅋㅋㅋ..미국식 유머를 좋아하는 나한테는 최고다..ㅎ
10,역시나 직설적인게 팍팍 와닿는다.
10,큰웃음ㅋ심슨이 스토리 탄탄해서 유명?아니잖아요?
9,역시 심슨은 웃긴다~~!!!
10,미국문화와 심슨식 유머만 잘안다면 재미있음
5,굳이 극장용 영화로 만들어야 했을까? 재미는 있었음.
5,스토리 부실... 너무 뻔한 영화, 만화로는 좋았을려나?
10,여자친구랑즐겁게봣다 ㅎ 심슨갠적으로강추 ㅋㅋ
7,티비시리즈..ㅋ 길어지니까 좀 안습이더라
7,애들이 아주 좋아할만한 영화. 다른 영화 페르디가 볼만했다.
8,TV물을 보고봤으면 더재밌었겠지만 영화만으로도 만족함 ^^
10,역시 심슨!! 처음 부터 나를 엄청 웃기게 해주었다.ㅋㅋㅋ
7,너무 가족애를 강조했지만 역시 심슨은 유쾌했다ㅋㅋ
7,유쾌하다 ㅋㅋ 아주 오래도록여운이남고할정도는아니고 ㅋㅋ볼만
10,충격과 공포다 그지 깽깽이들아!
10,한국간판 시카고 뭐라고 적어있던데.. ㅋㅋㅋㅋ 최강
7,극장놀러온 심슨가족 잇힝~
8,비꼼의 미학이다...ㅋㅋ 정말 재미있게 봤다
10,센스. 수준. ㅋㅋㅋㅋㅋㅋ웃겼다 굿.
9,탁재훈보다 웃겼던 호머
9,왜요??저는완전재밌던데ㅋㅋ근데영화관에사람이넘없었;;완전최고재밌는데;ㅋㅋ
10,역시 심슨 ! 웃겨 죽는다, 추천,
5,예고편 을 하도 많이봐서 그런지 정작 봤을 때는 별루 ㅡㅡ;; 잼없다..
10,ㅋㅋㅋㅋㅋ, 웃다가 울수도 있는 영화. 떄론 무식한게 좋다
9,보는 내내 웃었다... 하루가 답답했는데 풀어준 영화이다..
10,오히려 유딩들이 못웃는영화.. 난 잼던데
3,빈약한 스토리의 싸구려 만화...
10,나름 괜찮았던 스토리와 재미,  웃음과 유머는 이들을 따라올 자가 없다.
10,스토리는 간단했지만 그 사이의 유머는 끝장내줌!
10,진짜 잼있다^^ 가족도 갔는데 기대이상으로!!
10,재미있었어욘~~
9,tv에서 보여준 유머와 풍자. 그 이상도 그 이하도 아니다
10,패러디 쩐다ㅋㅋㅋ
6,영화관에서 보기엔 돈 아깝다........
9,재밋게봤다
10,내나이 33이지만 재미있는 애니인듯..
7,대단히 웃기영화임다 미국유머좋아하는분들 강추
10,나 혼자만 웃던 장면이 몇 있더라. 그래도 좋다.
8,재밌네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,아완젼너무웃겨ㅋㅋ강아지때릴때달려달려점프점프쉬어쉬어ㅋㅋ
7,귀엽다 ㅋㅋㅋ
10,스파이더피그 스파이더피그~ ㅋㅋㅋㅋ 무개념개그
9,별로 기대안했는데 재밌다
3,그냥TV판이낫다
10,역시 심슨!
8,웃~~ 역쉬 심슨 가족의 풍자와 패러디는 날 즐겁게 하는구려~
7,너무 기대한 탓이야..
7,심슨을 좋아한다면 별 한 개 추가 가능하다. 애들은 데리고 가지 마시고.
10,잼있다
5,조금 저질스럽고 징그럽기도 하고.
10,싸구려 코믹영화들보다 훨씬 웃으면서 봤다 애들은 이해못하겠지만ㅋ
4,내가 네이버평점준거중에 최악;;;
1,이걸 어떻게 10점 주냐;;;;;;;;;;;;;;;;;;;;;;
10,최고최고! 역시 극장판은 달라도 확실히 다르다. 절대 아깝지 않은 영화!
8,미국 코메디로 한국인을 웃길수있는 대단함 짝짝
1,다들 눈이 삐었나? 평소 tv판의 재미보다 못하다. 팬으로써 실망.
1,0점 없나? 이런OOO를 내가 봤다니.. 전나,증말,재미없고 유치의극치
8,심슨가족이 사랑받는 이유를 확실하게 보여준다.
10,시간이 아깝지 않았다. 오랜만에 실컷 웃을 수 있어서 좋았다
2,실망했음....
10,찐자재밌어요 보는내내웃었음하지만 애들이보면이해를못해서재미없을꺼예요
10,웃음이 끊이지 않는 영화! 기분 전환하기에 딱 좋아요 ^^정말 재밌음!
10,너무 재미있었어요 돈이 안 아까웠음
9,미쳐분다 웃겨부러~~~~
10,정말 웃겨 ㅋㅋ 한참웃은영화
10,스파이더피그>_<
8,극장에서 보긴 쫌 돈아깝니만 정말 웃기고 즐거운 4차원 영화ㅋㅋㅋ
10,황당그자체지만 재밋다 개그 ㅋㅋ
3,뭔가가 허전스러운 느낌.. 나만 인가?ㅡㅡ;
7,보는내내 웃엇다ㅋㅋㅋㅋ극장에서 보긴쫌 아까운ㅋ
8,나름 재밌었어요~
8,잼이는데
10,영화관에서 모르는사람들이랑 완전 웃었음.짱웃겨
10,스파이더피그!스파이더피그!졸라웃김 ㅋㅋㅋㅋㅋ
7,재밌기는 하지만.. 뭔가 쫌.;;
10,와~ 완전최고에여 ㅋ 특히 해리피그~~ ㅋㅋㅋㅋ 아웃겨 자빠졋음 ㅋㅋ
9,정말 재밌게봤슴 스파이더 피그~
7,요절복통 애니코메디의 진수, 버라이어티의 향연!!
9,풍자와 해학... 진정한 유머를 모르는이들은 평점이 낮을게 뻔하다.
8,주재도 구성도 모두 괜찮은 애니.. 잼있기까지 하다..
10,조낸 웃겨요. 진짜 다른 건 몰라도 웃긴거로 따지자면 만점
10,패러디의 최고봉 ㅋㅋㅋ 최소 사십분은 웃었다
10,개 썰매 끌면서 쉬어 쉬어 쉬어 최고였음
7,ㅋㅋ 하는짓들좀봐
9,오감을 만족시키진 못했지만 .. 그래도 역시 심슨!
8,영화의만듦새로평가해야지한국식미국식유머나눠서썸다운하는건무슨논리?
10,대놓고 웃기던데 ㅎㅎㅎㅎㅎ
6,호머의 말이 맞았다. 티비로 볼 수 있는 걸 왜 돈주고 봤을까?
1,일본보단 약해,,, ㅋㅋ
10,너무 기대하면 안돼요.
8,미국식비평만화-허를찌른다,역시심슨ㅋㅋ
3,이거이거 평점이 너무 높아..평점에 꼴딱속았음ㅡㅡ
10,외국 애니메이션 본것중에 제일 많이 웃은 영화 !!
8,미국스타일의 만화에 적응이 안되네 그래도 웃기긴 웃겼다
8,풍자란 뼈대위에 대놓고 스토리란 옷을 입은 영화
10,패러디등이 정말 우끼고 퀄리티도 좋다 입체를 상당히 신경쓴듯
8,짜증나는 디즈니 애니에 질렸다면 강추. 유쾌한 성인 개그의 진수!!
10,디워보다 훨씬나따 ㅋㅋ
2,내돈내놔~! 잠옴; 재미없음!!!!!
9,역시 심슨 꽤 볼만했다.
7,딱 7점 정도,,,, 극장에서 보긴 돈아까운 영화
10,역시 위트와 패러독스의 천재!
10,난정말 심슨엄마가 급한와중에 설거지하는거짱웃겼음 ㅋㅋ
10,심슨가족을 첨 본사람으로써 너무 웃겨요~ㅋㅋ 심슨시리즈 다 볼작정 ㅋㅋ
8,재미있다..ㅋㅋ
10,초딩은 보면 안돼요...
10,영화보는 내내 즐거웠다
10,선진국식 느낌있고 신선한 만화!
5,웃음의 포인트를 알아야 웃긴영화.
10,점수 10점 이하로 준 사람들 희한하다 이게 재미 없었다고?
6,심슨..그이상도 이하도 아님
5,성인용 만화같은데,, 근데 평점이 왜이렇게 높지? ^^지루했습니다!!!
10,바트의 OO는 정말 귀여웠다 ㅋㅋ
7,볼만합니다
10,세상에서 가장 웃겼던 영화!
8,18세 미만이 보면 재미 없음.. 어른용 만화.
1,꼬꼬마친구들용 영화
8,재미있지만 만화는 만화. 심슨매니아는 좋아할것
10,정말 신선해요!! 언제 어디서 봐도 좋은 ㅠ
7,충분히 웃겼다만 돈주고 보기엔 아까웠다.
10,재밌었어요ㅋㅋㅋ개한테물리던장면..혼자넘어갔음^^푸항~~
6,아나.. 동생이재밌다그래서 봤디만 ㅜㅅ ㅜ
8,이게 바로 '웃겨주는 센스'라는 것이다.
8,극장판도 여전히 유쾌하다!!
8,그런대로 재미있었어요 ^^
8,역시 심슨식 유머! 실망시키지 않았다.. 췩오!
7,블랙 커피를 시켰는데 밀크 커피가 나오는 이유는 뭘까?
10,잔혹코미디의 진수
10,사회 전반적인 환경문제를 유퀘하게 패러디로 담아낸영화
9,웃기긴 웃기더라 ㅋㅋ 귀엽고
10,역시 카메오부터 쩜 ㅎㄷㄷ
10,패러디의 진수
10,정말 재미있어요! 스파이더피그 해리포크 정말 귀여워요TAT….
10,완전 재미있어요~ 꼭 보세요~>ㅁ<
10,내생에 최고의 패러디영화 >.< TV말고도 극장에서 보는 재미도 있네요.
10,점프해 착지해 쉬어~ 쉬어~ 쉬어~ <-이부분 대박웃엇음
10,심슨은 날 버리지 않았다.... 스파이더피그,해리포크 사랑해요~
10,어디서 세상을 구한다는거야, 예고편 성우아저씨......
8,후반이..
10,역시 심슨
9,해리피그♡완죤귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ끝에좀지루함
10,끝에는 좀 지루했지만 ㅋㅋ 진짜 웃겼음
8,난왜약간지루했을까...하지만역시심슨가족이란생각이
10,엄청잼잇습니다 ㅋㅋ 어린이들은이해못함 ㅋㅋ 개인적으로 그린데이가 나와서좋았습
10,엄청잼슴  강력추천!
8,미국식유머 ㅋ 그래도 재밋엇다 절대애들을 데리고 보진 말아야할듯 ㅋㅋ
10,애니메이션중에 이렇게웃긴건없을듯
9,심하게 재미있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,극장판이라 좀 덜한건가..? 여튼 블랙이다~
10,짱짱짱! 2007년영화중 가장 유쾌하고캐웃겼던영화!심슨 반했어~> <
7,심슨가족! 유쾌한 가족들이 말을 하시길, 해피앤딩
10,억지스런 웃음이 아니었기에 만점! 영화보는 내내 웃었다.
9,이젠 스파이더 피그가 아니야.. 해리피그지..ㅋㅋㅋㅋㅋ
10,스파이더 피그 스파이더 피그!!
10,패러디 진짜 웃겼음ㅋㅋ2탄 3탄 만들어라~
8,같이본사람들 완전 웃느라고 정신없어했음
10,미친... 패러디의 진수
10,재밌어요 정말로 궁금하시면 제블로그에... <블로그를 광고하니!퍽퍽
10,스트레스 해소 완벽하게 됐어요!!우울한 사람 꼭 보세요~
9,심슨 진짜 캐웃겨!! 친구랑 완전 뒤집어졌다
9,안그래도 웃긴데 패러디 찾는것도 재밌다ㅋㅋ
10,기대없이 보러가서 더 재밌었던 심슨가족~
8,웃고싶은 사람이라면 무조건 보세요!!!^^
10,역시 씸~쓴!식 코메디 ㅋㅋㅋ
9,안봤으면 정말 후회할뻔했다는..ㅋㅋ
10,진짜 재밌어 죽는 줄 알았음. ㅋㅋ
10,시간가는줄 모르고 웃다가 나왔음ㅋㅋ심슨 쵝오!!
9,친구랑 시사회 보고왔는데 오늘 또 보러가요~^^
9,심슨가족을 사랑할수밖에 없는 이유!!ㅋㅋ
8,간만에 정신없이 웃고 나왔네요~^^
10,역시 기다린 보람이 있었다~2탄은 안나오려나~
9,웃느라고 시간가는줄 몰랐다는..^^
8,스파이더 피그~ 완전 최고!!ㅋㅋ
9,진짜 최고 강추!!
8,먼가 앞서있는 나라란 느낌이 든다~~
7,걍 볼만하다..
10,심슨 특유의 유머 ㅋㅋㅋㅋ
4,웃긴건 예고편에서 다 나왔고.. 영화관에서 보긴 좀 아쉬운..
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜웃기삼 참신한 아이디어
10,애들은 이해못하는 통쾌한 풍자극 코미디.
5,쩝.. 5점
1,1점 = 대딩 ,,, 10점 = 초딩
9,센스 충만함ㅎㅎ
8,호머스럽다
10,역시 날 배신하지 않았어...호머!!
10,정말 심슨다운 그런 멋진 영화! 역시 심슨~
10,베리 굿 !!! ~~ㅋ
9,볼때 애들이 많긴한데 어른들이 보고 웃기 좋은듯.정신없이 웃다나왓어요.ㅋ
10,역시나 최고였다
10,블랙코미디 좋아하는 사람은 보세요 ^^ ㅋㅋㅋㅋ
6,블랙코메디 싫어하는 사람은 보지마세요...ㅠㅠ
8,원래 애들용 애니는 아님.. 패러디와 풍자 역시 심슨가족 재밌다
1,애들보긴 안좋은거 같은데..암턴 극장에서 소리지르는 애들때문에 짜증..
9,tv는 10점 영화는 9점 ㅋㅋㅋㅋ
8,도발과 패러디의 향연. 훌륭하다!
7,웃겼다...근데 평점 너무 높다 ㅋ.ㅋ이거보구 옆집남자 급호감ㅋㅋ
10,솔직히 이거 15세는 되야되는데..
8,티비방송이 재미있기에 기대했는데 기대에 쬐금 못미침 ^^;;
10,심슨은 이유를 막론하고 10점. 이유는 보면 안다.
10,심슨은 내가봤던 애니중 최고였음
10,재밌어~
6,별로 웃지 못했기 때문에...양키센스는 적응했다고 생각했었는데...
9,재밌기도 했지만 일상적이고 현실적이라 와닿음.
10,정말 재밌게 봤었다.. 역시 풍자만화 보길 잘했다
8,재미있었고 내가 중국에 생각하는걸 그대로 ㅎㅎ
7,내용이야 공감가지만 글케 웃기지는 않던데;;
4,머냐;;; 정말 공감이가요??? 정말 재밌어..
7,어른만을 위한 애니.. 환경문제를 전달하고 싶었던건가?
10,최고다 최고. 역시 심슨
10,너무웃겨
3,초딩만 없었다면............
10,꽉꽉꽉꽉ㅋㅋㅋㅋ아진짜웃곀ㅋㅋㅋㅋㅋㅋㅋㅋ
10,완소가족♡
10,점뿌! 점뿌! 착지! 착지! 쉬어! 쉬어!
10,환경비판도 있지만 그안에 교회비판도 꽤 있다ㅋㅋㅋㅋ
10,심슨제작진을 꼭 만나보고 싶네요ㅋㅋ
10,스파이더피그스파이더피그^^최고에요^^
10,기대 하나도 않하고 받다.... 하지만 이걸 보고 심슨의 팬이 되었따
10,처음부터 끝까지 웃었다 ㅋㅋㅋ 심슨짱이다~~ ㅋㅋㅋ
10,TV 시리즈를 봤다면 말할 수 없는 감동
10,심슨은 GTT를 했습니다!! ㅋㅋ , 재밌는 영화 !
10,전문가평점에 말쓴거 보면 모순이다 재밌다면서 평점을 그따구로 주냐-_-
10,심슨이GTA 할때 미친듯이 웃었다 ㅋㅋ
10,재미와 감동 그리고 구렁이 담넘어가는듯한 사회비판ㅋㅋㅋ짱
10,처음부터 끝까지 너무 웃겨 쉴틈 없는 것이 유일한 단점인 영화. -3-
10,재밋서요 ㅋㅋㅋㅋㅋㅋ
10,기대 이상의 재미! 정말 코믹하고 재밌다
10,영화는 표현할수 없을것들을 제대로 보여준다~비틀어진최고애니~ㅋ
9,심슨답다..
9,심슨 가족과 어이없는 스토리가 재미있었다.
10,황당하고 어이없어 웃겨 쓰러질뻔했어요 ㅋㅋ
10,재밋네, ㅋㅋㅋㅋㅋ
4,재미없어
10,스파이더피그~스파이더피그~ㅋㅋㅋㅋ 이장면 너무 웃김.,ㅋ
10,스파이더피그스파이더피그 아심슨넘조타
10,똥을 싼다.
8,워낙 재미있는 심슨이니까..... 하지만 뭔가 조금 부족.
10,농락당하는게 이렇게 즐거울쏘냐 브라보~!
10,젠장, 극장에 초딩횽아들이 많아서 제대로 웃고싶을때 못 웃었음 ㅠㅠ
10,굳!! 또 나왓으면 좋겟다
10,정말로 보는 내내 웃었습니다 ㅎㅎㅎ 심슨다운 영화 !!
10,재밌다. 블랙코미디를 모르는 사람은 재미 없겠지만
10,주저 없이 10점을 준다. 17점을 줘도 아깝잖은 영화 ~
8,재밌음 ㅎㅎㅎ
7,그냥 그래
10,말이 필요없다. 굿
10,10점도아까워요^0^ 환경을다루는내용
8,달려 짝 ... 달려 짝 ... 쉬어 ... 짝
10,내가본영화관에선사람들이약10초에한번씩웃었다.
10,티비판보다 약한 감이 있지만 그래도 역시 심슨이구나~~~
9,역시 심슨 굿굿굿굿굿굿!!!!
6,재미있음.
10,ㅋㅋㅋㅋ 아재밌ㄷㅏ.... 마을을 구한 심슨
1,티비와 별다름이없다..
10,역시 웃기는 영화
10,잔재미도많았고큰재미도많았다1분,2분사이로한시간반동안 웃음이터졌다
10,아 진짜 웃김.ㅋㅋㅋ 또보고싶음 ㅎㅎ
10,15세정도가 맞는듯..잼슴.
10,원래 15세로 해야하는데 초딩들이 너무 많이왔어,선정적인 단어도 몇개정도
8,어렷을때는 진짜 웃격는데...
7,약간은 지루 했지만 2가지의 교훈을 준 것 같다.
6,심슨가족의 스크린 공략작전! 반은 성공, 반은 실패!
10,진짜너무웃김ㅋㅋㅋㅋㅋㅋㅋ
10,정말 재미 있어요 계속 웃게 만드는 유쾌한 영화^^
9,그저 짧은게 아쉬울 따름...
10,진짜 최고!!!!!!!!!!!!!!!!!!!!!!!
6,재밌긴했는데..아주 재밌는건아니구..좀 뭐가빠진느낌
10,즐겁고 경쾌한 영화!
10,재밌다. 그리고 초반에 좀 찔렸다
10,런..런..런..런..런..런..점프..점프..점프...점프..최고 ㅋ
9,스파이더피그
10,굿
10,역시 심슨.
10,심슨 역시 패러디의 최강자
10,아열라골때린다..열라재밌음^^..어른들도 막웃었다..^^
8,재미있었다. 애니메이터의 2/3는 한국사람이란다... 다만 뭔가 난잡했다
10,간만에 웃은 영화
6,2D에 녹아들은 풍자와 유머, 속편을 기대!
10,심슨 가족 더 무비는 미국 사람들은 비유한 것 같음 정말 재밌음 강추!
1,로그인두번째함.진짜완전재미없음다거짓말제이들진짜임와놔 열받아
10,아놔 처음시작부터 끝까지 진짜웃김..ㅋㅋ와우 ㅋ
10,김천홍 너 뭐니??
10,티비판을봤다면 더 재미있다. 엔딩크레딧 끝까지 보면 사소한 즐거움들이~
10,엔딩크레딧까지 꼭 보세요^^
10,이거 진짜재미있어요 빨리영화관가서 예매하세요
10,너무 재밌어요 ㅋㅋ한달기다렷는데 한시간만에 끝나서 넘 아쉬웟음..ㅜ
10,ㅎㅎㅎ 역시 심슨이란 말이 나오네요.. 잼있슴다..ㅋ
8,약간 우리정서랑 안맞는부분도 있지만 잼따 ㅋㅋ
5,초등학생들이랑 미취학아동들은 넘 좋아라하더군여;
10,이 정도 메시지를 가진 에니메이션이라면 정말 대단하다. 아는 만큼 보인다.
10,스파이더 피그 스파이더 피그 지구를 구해라 스파이더 피그
10,보기전에 유치할줄만 알았던 영화 정말 재밌게 봤다.
10,tv심슨만화보다 내용은잇엇으나 재미는없엇다
10,그래 바로 이거야!!
10,진짜 재미있다!!!!!!!!!! 와우!!
10,작가정신과 상상력의 조화...한국 애니메이션...좀 본받아라
10,또 보고싶네 ㅎㅎ
10,아이들 보다는 어른들을 위한 영화. 시작부터 웃겨 죽는줄 알았네요 ㅎㅎ
1,재미없었어요
10,역시라는 말이 나오네요.
8,그냥 심슨
10,코미디와 비판이 잘 섞여있다. 극장에서 이렇게 웃어보기도 처음이다.
5,이것도 재미겠지만! 태권브이원한다!
9,이 정도는 되야 코미디라고 할수 있지!!
7,그냥 볼 만한 정도이다...재미는 약간..
10,양키센스쩐다 ㅋㅋㅋ
10,재미잇어요~ㅎㅎ
10,보고있는 내가 바보되는 느낌
7,좀 유치하기도 하지만 너무 큰 명작이기에 심슨가족더무비도 재미있습니다
7,그냥 그렇다
10,최고다! 정말 쓰러질 정도로 웃었다.
10,불법다운을통해 개봉하기도 전에 봤는데 , 원하시면 보내드려요 쪽지 ㄱㄱ
10,아브라함 심슨(호머 아버지)을 보고 웃겨서 죽을뻔 했다
10,아놔 일본만화 꺼져랔ㅋㅋ
10,장난아니고 진짜 웃겼음 ㅋㅋㅋ 최고 오랜만에 소리내서 웃어봤음
10,아 웃겨 디져 진짜ㅋㅋㅋㅋㅋ 바트 엉덩이ㅋㅋ 쓰러져ㅋㅋㅋㅋㅋ
10,처음부터끝까지너무웃김.최고~! 기대이상. 무대인사도 귀여웠어요^^
7,심슨가족 팬에겐 즐겁고 기쁘다.
10,봐라 장난 아니다.
10,최고의 오락영화입니다. 만화라고 무시할게 아님. 영화내내 웃겨죽음.
9,심슨아들이옷벗엇을때진짜나미치는지알앗다..ㅋㅋㅋㅋ 역시굿!!
7,개성적인캐릭터와신랄한풍자..기대탓인지영화보단tv판이더좋았음^^;
10,Doh~
10,오늘 보러갔었는데  진짜 와 ㅋㅋ 웃겨죽는줄알았삼
10,해리포터.타이타닉,스파이더맨, ㅋㅋㅋ 보는동안 웃겨 죽는줄 알았다.ㅋㅋㅋ
10,기대이상!!!!
10,뛰어뛰어뛰어 점프점프점프 쉬어쉬어쉬어!! ㅋㅋㅋ 최고최고!!
10,ㅋㅋ 심슨 구멍에 빠질때 배터질뻔
10,아 해리픽그 존내 웃기내 ㅋㅋㅋㅋ
10,미국식 만화에 절정판!! 촌철살인 적인 한마디 한마디가 가슴을 통쾌하게 했다 ㅋㅋ
10,이영화를 집에서 보고 평과하지마라 영화관에서 보면 다르다
7,재미있으나 폭소는 역부족;; 아이들땜에 영화관에선 못볼영화
7,그냥 컬처쇼크...? 신랄하지만 크게 우습진 않다.
10,무한도전 할때 바트가 옷벗고 스케이트 보드 타는것이 엄청 웃겼다ㅋㅋ
10,스파이더피그, 심슨구멍에서OO할때, 썰매개몰때 미친듯이 웃었다 ㅋㅋ
7,재미나긴 하지만... 유익하게 잼있지는 않네요 ㅎㅎㅎㅎㅎ
10,캐릭터들의 개성을 잘 살려냈고 독특한 상상력 또한 돋보였다.
4,문화적 차이인지..한국인에겐 아직 그닥 친근한 캐릭터는 아닌갑다.별로..
3,이게 왜 재밌는지,, 개인적으로 이해못함..~
10,재미있었어요.ㅋㅋ
7,그럭저럭 볼만함
1,평점 보고 갔다가 돈낭비.. 그냥 tv 심슨 연장판. 번역도 거지같고
10,오랜만에 돈이 가치있게 쓴것 같아요^^ 스파이더피그 정말 미치겠더라구요
10,보는 내내 웃었음ㅋ 강추 한국어도 나와요 ㅋ 텍사스 사투리 강습 ㅋ
